,time,value,field,cell_id,robot_id,run_uuid,sensor_type
0,2022-11-23T20:40:00.444Z,826.1516,x,1,1,8910095844186657261,encoder
1,2022-11-23T20:40:02.111Z,882.4617,x,1,1,8910095844186657261,encoder
2,2022-11-23T20:40:03.778Z,846.7317,x,1,1,8910095844186657261,encoder
3,2022-11-23T20:40:05.445Z,743.2071,x,1,1,8910095844186657261,encoder
4,2022-11-23T20:40:07.112Z,702.7624,x,1,1,8910095844186657261,encoder
5,2022-11-23T20:40:08.779Z,781.3225,x,1,1,8910095844186657261,encoder
6,2022-11-23T20:40:10.446Z,822.3963,x,1,1,8910095844186657261,encoder
7,2022-11-23T20:40:12.113Z,805.6243,x,1,1,8910095844186657261,encoder
8,2022-11-23T20:40:13.78Z,718.204,x,1,1,8910095844186657261,encoder
9,2022-11-23T20:40:15.447Z,722.3841,x,1,1,8910095844186657261,encoder
10,2022-11-23T20:40:17.114Z,825.0156,x,1,1,8910095844186657261,encoder
11,2022-11-23T20:40:18.781Z,886.0529,x,1,1,8910095844186657261,encoder
12,2022-11-23T20:40:20.448Z,832.6796,x,1,1,8910095844186657261,encoder
13,2022-11-23T20:40:22.115Z,826.8181,x,1,1,8910095844186657261,encoder
14,2022-11-23T20:40:23.782Z,870.3628,x,1,1,8910095844186657261,encoder
15,2022-11-23T20:40:25.449Z,861.9236,x,1,1,8910095844186657261,encoder
16,2022-11-23T20:40:27.116Z,757.5496,x,1,1,8910095844186657261,encoder
17,2022-11-23T20:40:28.783Z,700.9159,x,1,1,8910095844186657261,encoder
18,2022-11-23T20:40:30.45Z,776.3195,x,1,1,8910095844186657261,encoder
19,2022-11-23T20:40:32.117Z,826.6573,x,1,1,8910095844186657261,encoder
20,2022-11-23T20:40:33.784Z,818.8885,x,1,1,8910095844186657261,encoder
21,2022-11-23T20:40:35.451Z,732.2197,x,1,1,8910095844186657261,encoder
22,2022-11-23T20:40:37.118Z,715.3975,x,1,1,8910095844186657261,encoder
23,2022-11-23T20:40:38.785Z,808.1167,x,1,1,8910095844186657261,encoder
24,2022-11-23T20:40:40.452Z,885.245,x,1,1,8910095844186657261,encoder
25,2022-11-23T20:40:42.119Z,844.8016,x,1,1,8910095844186657261,encoder
26,2022-11-23T20:40:43.786Z,830.5924,x,1,1,8910095844186657261,encoder
27,2022-11-23T20:40:45.453Z,863.6869,x,1,1,8910095844186657261,encoder
28,2022-11-23T20:40:47.12Z,869.8804,x,1,1,8910095844186657261,encoder
29,2022-11-23T20:40:48.787Z,775.9083,x,1,1,8910095844186657261,encoder
30,2022-11-23T20:40:50.454Z,702.5669,x,1,1,8910095844186657261,encoder
31,2022-11-23T20:40:52.121Z,756.3239,x,1,1,8910095844186657261,encoder
32,2022-11-23T20:40:53.788Z,827.7636,x,1,1,8910095844186657261,encoder
33,2022-11-23T20:40:55.455Z,829.5358,x,1,1,8910095844186657261,encoder
34,2022-11-23T20:40:57.122Z,761.5202,x,1,1,8910095844186657261,encoder
35,2022-11-23T20:40:58.789Z,701.4734,x,1,1,8910095844186657261,encoder
36,2022-11-23T20:41:00.456Z,775.0902,x,1,1,8910095844186657261,encoder
37,2022-11-23T20:41:02.123Z,872.7324,x,1,1,8910095844186657261,encoder
38,2022-11-23T20:41:03.79Z,859.6597,x,1,1,8910095844186657261,encoder
39,2022-11-23T20:41:05.457Z,832.4227,x,1,1,8910095844186657261,encoder
40,2022-11-23T20:41:07.124Z,853.8189,x,1,1,8910095844186657261,encoder
41,2022-11-23T20:41:08.791Z,878.6242,x,1,1,8910095844186657261,encoder
42,2022-11-23T20:41:10.458Z,788.2221,x,1,1,8910095844186657261,encoder
43,2022-11-23T20:41:12.125Z,704.4622,x,1,1,8910095844186657261,encoder
44,2022-11-23T20:41:13.792Z,747.9462,x,1,1,8910095844186657261,encoder
45,2022-11-23T20:41:15.459Z,828.8192,x,1,1,8910095844186657261,encoder
46,2022-11-23T20:41:17.126Z,838.15,x,1,1,8910095844186657261,encoder
47,2022-11-23T20:41:18.793Z,783.0423,x,1,1,8910095844186657261,encoder
48,2022-11-23T20:41:20.46Z,703.1444,x,1,1,8910095844186657261,encoder
